service_id,operator_name_en,best_brta_route_id,brta_route_code_en,brta_route_name_en,brta_origin_name_en,brta_destination_name_en,common_stop_count,service_coverage,brta_route_coverage,match_score,match_quality,verified,recommended_action,warning
SVC0001,Achim Paribahan,BRTA_A_320_NO,A-320 No.,Zoo to Jatrabari,Zoo,Jatrabari,8,0.296,0.5,0.398,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0014,Arnob,BRTA_A_302_NO,A-302 No.,Bonsree (Meradia) to Savar,Bonsree (Meradia),Savar,8,0.4,0.8,0.6,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0015,Ashirbad Pahibahan,BRTA_A_127_NO,A-127 No.,Mirpur Mazar Road to Azimpur,Mirpur Mazar Road,Azimpur,7,0.333,0.7,0.517,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0016,Ashulia Classic,BRTA_A_380_NO,A-380 No.,Signboard to Fantasy Kingdom,Signboard,Fantasy Kingdom,9,0.391,0.5,0.446,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0017,Asmani,BRTA_A_362_NO,A-362 No.,Dhaur to Madanpur,Dhaur,Madanpur,5,0.208,0.417,0.312,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0018,ATCL,BRTA_A_309_NO,A-309 No.,Sadarghat to EPZ,Sadarghat,EPZ,5,0.333,0.5,0.417,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0019,Ayat,BRTA_A_344_NO,A-344 No.,Zoo to Ekuria,Zoo,Ekuria,8,0.471,0.5,0.485,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0020,Bahon,BRTA_A_115_NO,A-115 No.,Mirpur-1 (Boishakhi Super Market) to Jatrabari,Mirpur-1,Jatrabari,9,0.346,0.6,0.473,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0021,Baishakhi,BRTA_A_302_NO,A-302 No.,Bonsree (Meradia) to Savar,Bonsree (Meradia),Savar,8,0.471,0.8,0.635,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0022,Balaka,BRTA_A_380_NO,A-380 No.,Signboard to Fantasy Kingdom,Signboard,Fantasy Kingdom,9,0.3,0.5,0.4,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0023,Basumati,BRTA_A_429_NO,A-429 No.,Savar to Signboard,Savar,Signboard,7,0.318,0.5,0.409,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0024,Basumati Transport,BRTA_A_271_NO,A-271 No.,Gabtoli to Gazipur,Gabtoli Bridge Par,Gazipur,6,0.25,0.667,0.458,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0025,Best Satabdi AC,BRTA_A_341_NO,A-341 No.,Azimpur to Dhaur,Azimpur,Dhaur,6,0.231,0.75,0.49,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0026,Best Transport,BRTA_A_458_NO,A-458 No.,Mirpur-12 to Motijheel,Mirpur-12,Motijheel,7,0.35,0.636,0.493,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0027,Bhuiyan Paribahan,BRTA_A_292_NO,A-292 No.,Mohammadpur Shia Mosque to Nobinagar (Savar),Mohammadpur Shia Mosque,Nobinagar (Savar),7,0.269,0.583,0.426,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0028,Bihanga,BRTA_A_102_NO,A-102 No.,Pallabi to Sadarghat,Pallabi (Mirpur-12),Victoria Park,7,0.304,0.636,0.47,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0029,Bikalpa Bus Auto Service,BRTA_A_458_NO,A-458 No.,Mirpur-12 to Motijheel,Mirpur-12,Motijheel,9,0.429,0.818,0.623,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0030,Bikalpa Bus City Super Service,BRTA_A_122_NO,A-122 No.,Mirpur-12 (ECB Chattar) to Azimpur,Mirpur-12,Azimpur,8,0.381,0.8,0.59,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0031,Bikash,BRTA_A_341_NO,A-341 No.,Azimpur to Dhaur,Azimpur,Dhaur,6,0.316,0.75,0.533,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0032,Bikash Paribahan,BRTA_A_341_NO,A-341 No.,Azimpur to Dhaur,Azimpur,Dhaur,6,0.162,0.75,0.456,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0033,Bondhu Paribahan,BRTA_A_430_NO,A-430 No.,Bhawal Vita (South Keraniganj) to Diabari,Bhawal Vita (South Keraniganj),Diabari,7,0.438,0.368,0.403,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0034,Borak,BRTA_A_259_NO,A-259 No.,Palashi to Meghnaghat,Palashi,Meghnaghat,1,0.5,0.143,0.321,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0035,Bashumoti,BRTA_A_271_NO,A-271 No.,Gabtoli to Gazipur,Gabtoli Bridge Par,Gazipur,4,0.444,0.444,0.444,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0036,BRTC,BRTA_A_429_NO,A-429 No.,Savar to Signboard,Savar,Signboard,13,0.433,0.929,0.681,high,no,manual_review_priority_high,Algorithmic suggestion only; manually validate before production.
SVC0037,BRTC,BRTA_A_327_NO,A-327 No.,Mirpur-14 to Motijheel,Mirpur-14,Motijheel,5,0.179,0.714,0.446,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0038,BRTC,BRTA_A_429_NO,A-429 No.,Savar to Signboard,Savar,Signboard,10,0.417,0.714,0.565,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0039,BRTC,BRTA_A_166_NO,A-166 No.,Mohammadpur (Bus Stand) to Uttara House Building,Mohammadpur,House Building,8,0.471,0.471,0.471,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0040,BRTC,BRTA_A_327_NO,A-327 No.,Mirpur-14 to Motijheel,Mirpur-14,Motijheel,5,0.2,0.714,0.457,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0041,BRTC,BRTA_A_166_NO,A-166 No.,Mohammadpur (Bus Stand) to Uttara House Building,Mohammadpur,House Building,2,0.333,0.118,0.225,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0042,BRTC,BRTA_A_430_NO,A-430 No.,Bhawal Vita (South Keraniganj) to Diabari,Bhawal Vita (South Keraniganj),Diabari,11,0.393,0.579,0.486,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0043,BRTC,BRTA_A_406_NO,A-406 No.,Ghater Char to Sonargaon,Ghater Char,Sonargaon,7,0.438,0.412,0.425,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0044,BRTC,BRTA_A_271_NO,A-271 No.,Gabtoli to Gazipur,Gabtoli Bridge Par,Gazipur,6,0.25,0.667,0.458,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0045,BRTC Articulated,BRTA_A_327_NO,A-327 No.,Mirpur-14 to Motijheel,Mirpur-14,Motijheel,4,0.444,0.571,0.508,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0046,Cantonment,BRTA_A_307_NO,A-307 No.,Mirpur-14 to EPZ,Mirpur-14,EPZ,6,0.545,0.75,0.648,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0047,Cantonment Mini Service,BRTA_A_327_NO,A-327 No.,Mirpur-14 to Motijheel,Mirpur-14,Motijheel,2,0.333,0.286,0.31,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0048,Champion,BRTA_A_307_NO,A-307 No.,Mirpur-14 to EPZ,Mirpur-14,EPZ,5,0.556,0.625,0.59,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0049,City Link,BRTA_A_406_NO,A-406 No.,Ghater Char to Sonargaon,Ghater Char,Sonargaon,10,0.417,0.588,0.502,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0050,D Link,BRTA_A_260_NO,A-260 No.,Fulbaria Path Hospital to Dhamrai,Fulbaria,Dhamrai,6,0.273,0.857,0.565,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0051,D One Transport,BRTA_A_429_NO,A-429 No.,Savar to Signboard,Savar,Signboard,8,0.381,0.571,0.476,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0052,Deepan,BRTA_A_439_NO,A-439 No.,Khilgaon Khidma Hospital to Ghater Char,Khilgaon Khidma Hospital,Ghater Char,5,0.417,0.357,0.387,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0053,Desh Bangla,BRTA_A_424_NO,A-424 No.,Signboard to Dhaur,Signboard,Dhaur,10,0.357,0.667,0.512,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0054,Dewan,BRTA_A_355_NO,A-355 No.,Kuril Biswa Road to Azimpur,Kuril Biswa Road,Azimpur,9,0.36,0.9,0.63,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0055,Dhakar Chaka,BRTA_A_142_NO,A-142 No.,Pirjangi Mazar to Natun Bazar,Pirjangi Mazar,Natun Bazar,2,0.667,0.143,0.405,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0056,Dhakar Chaka,BRTA_A_278_NO,A-278 No.,Mirpur-1 (Sony Cinema Hall) to Beraid,Mirpur-1,Beraid,2,0.667,0.2,0.433,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0057,Dipon,BRTA_A_406_NO,A-406 No.,Ghater Char to Sonargaon,Ghater Char,Sonargaon,6,0.316,0.353,0.334,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0058,Dip Paribahan,BRTA_A_341_NO,A-341 No.,Azimpur to Dhaur,Azimpur,Dhaur,2,0.222,0.25,0.236,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0059,Dishari,BRTA_A_264_NO,A-264 No.,Mirpur (Zoo) to Keraniganj,Mirpur (Zoo),Keraniganj,6,0.261,0.857,0.559,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0060,ETC,BRTA_A_101_NO,A-101 No.,Kalshi (Mirpur-12) to Kanchpur Bridge,Kalshi,Kanchpur Bridge,6,0.6,0.429,0.514,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0061,ETC Transport,BRTA_A_458_NO,A-458 No.,Mirpur-12 to Motijheel,Mirpur-12,Motijheel,7,0.35,0.636,0.493,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0062,Everest Paribahan,BRTA_A_264_NO,A-264 No.,Mirpur (Zoo) to Keraniganj,Mirpur (Zoo),Keraniganj,2,0.333,0.286,0.31,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0063,First Ten,BRTA_A_307_NO,A-307 No.,Mirpur-14 to EPZ,Mirpur-14,EPZ,5,0.556,0.625,0.59,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0064,FTCL,BRTA_A_406_NO,A-406 No.,Ghater Char to Sonargaon,Ghater Char,Sonargaon,9,0.409,0.529,0.469,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0065,FTCL,BRTA_A_439_NO,A-439 No.,Khilgaon Khidma Hospital to Ghater Char,Khilgaon Khidma Hospital,Ghater Char,6,0.5,0.429,0.464,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0066,Gazipur Paribahan,BRTA_A_380_NO,A-380 No.,Signboard to Fantasy Kingdom,Signboard,Fantasy Kingdom,10,0.333,0.556,0.444,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0067,Grameen,BRTA_A_307_NO,A-307 No.,Mirpur-14 to EPZ,Mirpur-14,EPZ,5,0.625,0.625,0.625,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0068,Green Anabil,BRTA_A_424_NO,A-424 No.,Signboard to Dhaur,Signboard,Dhaur,9,0.231,0.6,0.415,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0069,Green Dhaka,BRTA_A_430_NO,A-430 No.,Bhawal Vita (South Keraniganj) to Diabari,Bhawal Vita (South Keraniganj),Diabari,11,0.379,0.579,0.479,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0070,Gulshan Chaka,BRTA_A_278_NO,A-278 No.,Mirpur-1 (Sony Cinema Hall) to Beraid,Mirpur-1,Beraid,2,0.667,0.2,0.433,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0071,Hazi Transport,BRTA_A_458_NO,A-458 No.,Mirpur-12 to Motijheel,Mirpur-12,Motijheel,9,0.474,0.818,0.646,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0072,Himachal,BRTA_A_202_NO,A-202 No.,Savar to Amulia Staff Quarter,Savar,Amulia Staff Quarter,3,0.3,0.375,0.338,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0073,Himachal Suveccha,BRTA_A_288_NO,A-288 No.,Mirpur-12 to Narayanganj,Mirpur-12,Narayanganj,8,0.286,0.615,0.451,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0074,Himalay,BRTA_A_243_NO,A-243 No.,Dhaleswar to Tongi (Bastuhara),Dhaleswar,Tongi (Bastuhara),2,0.4,0.333,0.367,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0075,Itihash,BRTA_A_367_NO,A-367 No.,Bhabantek to Nandan Park,Bhabantek,Nandan Park,7,0.5,0.636,0.568,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0076,Jabale Noor Paribahan,BRTA_A_301_NO,A-301 No.,Japan Garden City to Dhaur,Japan Garden City,Dhaur,5,0.357,0.5,0.429,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0077,Jabale Noor Paribahan,BRTA_A_320_NO,A-320 No.,Zoo to Jatrabari,Zoo,Jatrabari,4,0.667,0.25,0.458,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0078,Kamal Plus Paribahan,BRTA_A_161_NO,A-161 No.,Ghatarchar to Dhupkhola,Ghatarchar,Dhupkhola,9,0.429,0.75,0.589,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0079,kanak,BRTA_A_377_NO,A-377 No.,Gabtoli to Rampura,Gabtoli Bridge Par,Meradia Bazar,6,0.353,0.429,0.391,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0080,Khajababa,BRTA_A_458_NO,A-458 No.,Mirpur-12 to Motijheel,Mirpur-12,Motijheel,8,0.364,0.727,0.545,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0081,Kironmala Paribahan,BRTA_A_422_NO,A-422 No.,Kamrangirchar (Beribadh) to Konabari,Kamrangirchar (Beribadh),Konabari,3,0.25,0.25,0.25,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0082,Labbayek,BRTA_A_421_NO,A-421 No.,Signboard to Nabinagar,Signboard,Nabinagar,11,0.355,0.786,0.57,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0083,Lal Sabuj,BRTA_A_429_NO,A-429 No.,Savar to Signboard,Savar,Signboard,10,0.4,0.714,0.557,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0084,Lams Paribahan,BRTA_A_458_NO,A-458 No.,Mirpur-12 to Motijheel,Mirpur-12,Motijheel,8,0.4,0.727,0.564,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0085,Malancha,BRTA_A_161_NO,A-161 No.,Ghatarchar to Dhupkhola,Ghatarchar,Dhupkhola,6,0.353,0.5,0.426,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0086,Manjil Express,BRTA_A_380_NO,A-380 No.,Signboard to Fantasy Kingdom,Signboard,Fantasy Kingdom,14,0.452,0.778,0.615,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0087,Meghla Transport,BRTA_A_252_NO,A-252 No.,Bhulta to Science Lab,Bhulta,Science Lab,5,0.294,0.833,0.564,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0088,Meshkat,BRTA_A_429_NO,A-429 No.,Savar to Signboard,Savar,Signboard,7,0.412,0.5,0.456,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0089,Midline,BRTA_A_439_NO,A-439 No.,Khilgaon Khidma Hospital to Ghater Char,Khilgaon Khidma Hospital,Ghater Char,8,0.421,0.571,0.496,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0090,Mirpur Metro Services,BRTA_A_127_NO,A-127 No.,Mirpur Mazar Road to Azimpur,Mirpur Mazar Road,Azimpur,8,0.421,0.8,0.611,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0091,Mirpur Link,BRTA_A_459,A-459,Manikdi (ECB Mor) to Azimpur,Manikdi (ECB Mor),Azimpur,4,0.333,0.333,0.333,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0092,Mirpur Mission,BRTA_A_131_NO,A-131 No.,Mirpur Zoo to Sadarghat,Zoo,Victoria Park,3,0.5,0.333,0.417,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0093,Mirpur United Service,BRTA_A_458_NO,A-458 No.,Mirpur-12 to Motijheel,Mirpur-12,Motijheel,7,0.304,0.636,0.47,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0094,MM Lovely,BRTA_A_421_NO,A-421 No.,Signboard to Nabinagar,Signboard,Nabinagar,11,0.355,0.786,0.57,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0095,Modhumita,BRTA_A_302_NO,A-302 No.,Bonsree (Meradia) to Savar,Bonsree (Meradia),Savar,6,0.3,0.6,0.45,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0096,Mohona,BRTA_A_333_NO,A-333 No.,Mirpur-14 to Nandan Park,Mirpur-14,Nandan Park,4,0.308,0.5,0.404,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0097,Moitri,BRTA_A_406_NO,A-406 No.,Ghater Char to Sonargaon,Ghater Char,Sonargaon,7,0.412,0.412,0.412,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0098,Moumita,BRTA_A_441_NO,A-441 No.,Nandan Park to Narayanganj Chasara,Nandan Park,Narayanganj Chasara,9,0.265,0.818,0.541,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0099,MTCL-2,BRTA_A_252_NO,A-252 No.,Bhulta to Science Lab,Bhulta,Science Lab,4,0.222,0.667,0.444,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0100,Nur E Makka,BRTA_A_320_NO,A-320 No.,Zoo to Jatrabari,Zoo,Jatrabari,8,0.32,0.5,0.41,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0101,New Vision Dhaka,BRTA_A_114_NO,A-114 No.,Mirpur (Zoo) to Sayedabad,Zoo,Sayedabad,10,0.526,0.667,0.596,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0102,Nilachol Dhaka,BRTA_A_441_NO,A-441 No.,Nandan Park to Narayanganj Chasara,Nandan Park,Narayanganj Chasara,7,0.226,0.636,0.431,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0103,Omama International,BRTA_A_132_NO,A-132 No.,Baipail to Keraniganj (New Jail),Baipail,Keraniganj (New Jail),7,0.318,0.438,0.378,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0104,Pallabi Super,BRTA_A_304_NO,A-304 No.,Basila to Dhaur,Basila,Dhaur,10,0.455,0.588,0.521,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0105,Paristhan,BRTA_A_366_NO,A-366 No.,Basila to Dhaur,Basila,Dhaur,12,0.444,0.75,0.597,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0106,Prattay,BRTA_A_260_NO,A-260 No.,Fulbaria Path Hospital to Dhamrai,Fulbaria,Dhamrai,1,0.1,0.143,0.121,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0107,Prochesta,BRTA_A_430_NO,A-430 No.,Bhawal Vita (South Keraniganj) to Diabari,Bhawal Vita (South Keraniganj),Diabari,11,0.344,0.579,0.461,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0108,Projapati,BRTA_A_304_NO,A-304 No.,Basila to Dhaur,Basila,Dhaur,11,0.423,0.647,0.535,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0109,Provati Banasree,BRTA_A_380_NO,A-380 No.,Signboard to Fantasy Kingdom,Signboard,Fantasy Kingdom,10,0.303,0.556,0.429,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0110,Purbachol Logistics and Transport,BRTA_A_367_NO,A-367 No.,Bhabantek to Nandan Park,Bhabantek,Nandan Park,8,0.5,0.727,0.614,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0111,Raida Dhaka,BRTA_A_424_NO,A-424 No.,Signboard to Dhaur,Signboard,Dhaur,7,0.25,0.467,0.358,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0112,Raja City Dhaka,BRTA_A_406_NO,A-406 No.,Ghater Char to Sonargaon,Ghater Char,Sonargaon,8,0.421,0.471,0.446,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0113,Rajanigandha Dhaka,BRTA_A_406_NO,A-406 No.,Ghater Char to Sonargaon,Ghater Char,Sonargaon,9,0.45,0.529,0.49,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0114,Rajdhani Super Dhaka,BRTA_A_320_NO,A-320 No.,Zoo to Jatrabari,Zoo,Jatrabari,8,0.286,0.5,0.393,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0115,Ramjan Dhaka,BRTA_A_157_NO,A-157 No.,Bonoshri to Mohammadpur,Bonoshri,Mohammadpur (Asad Avenue),6,0.222,0.857,0.54,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0116,Robrob Dhaka,BRTA_A_377_NO,A-377 No.,Gabtoli to Rampura,Gabtoli Bridge Par,Meradia Bazar,7,0.389,0.5,0.444,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0117,Rupa Paribahan Dhaka,BRTA_A_307_NO,A-307 No.,Mirpur-14 to EPZ,Mirpur-14,EPZ,5,0.556,0.625,0.59,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0118,Safety Druti,BRTA_A_122_NO,A-122 No.,Mirpur-12 (ECB Chattar) to Azimpur,Mirpur-12,Azimpur,6,0.353,0.6,0.476,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0119,Sakalpa Transport,BRTA_A_344_NO,A-344 No.,Zoo to Ekuria,Zoo,Ekuria,7,0.5,0.438,0.469,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0120,Salsabil,BRTA_A_424_NO,A-424 No.,Signboard to Dhaur,Signboard,Dhaur,8,0.242,0.533,0.388,low,no,manual_review_priority_low,Algorithmic suggestion only; manually validate before production.
SVC0121,Savar Paribahan,BRTA_A_224_NO,A-224 No.,Fulbaria to Paturia,Fulbaria,Paturia,8,0.308,0.727,0.517,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
SVC0122,Shadhin,BRTA_A_368_NO,A-368 No.,Demra Staff Quarter to Basila,Demra Staff Quarter,Basila,7,0.467,0.7,0.583,medium,no,manual_review_priority_medium,Algorithmic suggestion only; manually validate before production.
