service_id,operator_name_en,best_brta_route_id,common_stop_count,service_coverage,brta_route_coverage,match_score,match_quality,verified,warning
SVC0001,Achim Paribahan,BRTA_A_320_NO,8,0.296,0.5,0.398,low,no,Algorithmic suggestion only; manually validate before production.
SVC0027,Bhuiyan Paribahan,BRTA_A_292_NO,7,0.269,0.583,0.426,low,no,Algorithmic suggestion only; manually validate before production.
SVC0028,Bihanga,BRTA_A_102_NO,7,0.304,0.636,0.47,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0029,Bikalpa Bus Auto Service,BRTA_A_458_NO,9,0.429,0.818,0.623,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0030,Bikalpa Bus City Super Service,BRTA_A_122_NO,8,0.381,0.8,0.59,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0031,Bikash,BRTA_A_341_NO,6,0.316,0.75,0.533,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0032,Bikash Paribahan,BRTA_A_341_NO,6,0.162,0.75,0.456,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0033,Bondhu Paribahan,BRTA_A_430_NO,7,0.438,0.368,0.403,low,no,Algorithmic suggestion only; manually validate before production.
SVC0034,Borak,BRTA_A_259_NO,1,0.5,0.143,0.321,low,no,Algorithmic suggestion only; manually validate before production.
SVC0035,Bashumoti,BRTA_A_271_NO,4,0.444,0.444,0.444,low,no,Algorithmic suggestion only; manually validate before production.
SVC0036,BRTC,BRTA_A_429_NO,13,0.433,0.929,0.681,high,no,Algorithmic suggestion only; manually validate before production.
SVC0037,BRTC,BRTA_A_327_NO,5,0.179,0.714,0.446,low,no,Algorithmic suggestion only; manually validate before production.
SVC0038,BRTC,BRTA_A_429_NO,10,0.417,0.714,0.565,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0039,BRTC,BRTA_A_166_NO,8,0.471,0.471,0.471,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0040,BRTC,BRTA_A_327_NO,5,0.2,0.714,0.457,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0041,BRTC,BRTA_A_166_NO,2,0.333,0.118,0.225,low,no,Algorithmic suggestion only; manually validate before production.
SVC0042,BRTC,BRTA_A_430_NO,11,0.393,0.579,0.486,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0043,BRTC,BRTA_A_406_NO,7,0.438,0.412,0.425,low,no,Algorithmic suggestion only; manually validate before production.
SVC0044,BRTC,BRTA_A_271_NO,6,0.25,0.667,0.458,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0045,BRTC Articulated,BRTA_A_327_NO,4,0.444,0.571,0.508,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0046,Cantonment,BRTA_A_307_NO,6,0.545,0.75,0.648,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0047,Cantonment Mini Service,BRTA_A_327_NO,2,0.333,0.286,0.31,low,no,Algorithmic suggestion only; manually validate before production.
SVC0048,Champion,BRTA_A_307_NO,5,0.556,0.625,0.59,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0049,City Link,BRTA_A_406_NO,10,0.417,0.588,0.502,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0050,D Link,BRTA_A_260_NO,6,0.273,0.857,0.565,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0051,D One Transport,BRTA_A_429_NO,8,0.381,0.571,0.476,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0052,Deepan,BRTA_A_439_NO,5,0.417,0.357,0.387,low,no,Algorithmic suggestion only; manually validate before production.
SVC0053,Desh Bangla,BRTA_A_424_NO,10,0.357,0.667,0.512,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0054,Dewan,BRTA_A_355_NO,9,0.36,0.9,0.63,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0055,Dhakar Chaka,BRTA_A_142_NO,2,0.667,0.143,0.405,low,no,Algorithmic suggestion only; manually validate before production.
SVC0056,Dhakar Chaka,BRTA_A_278_NO,2,0.667,0.2,0.433,low,no,Algorithmic suggestion only; manually validate before production.
SVC0057,Dipon,BRTA_A_406_NO,6,0.316,0.353,0.334,low,no,Algorithmic suggestion only; manually validate before production.
SVC0058,Dip Paribahan,BRTA_A_341_NO,2,0.222,0.25,0.236,low,no,Algorithmic suggestion only; manually validate before production.
SVC0059,Dishari,BRTA_A_264_NO,6,0.261,0.857,0.559,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0060,ETC,BRTA_A_101_NO,6,0.6,0.429,0.514,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0061,ETC Transport,BRTA_A_458_NO,7,0.35,0.636,0.493,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0062,Everest Paribahan,BRTA_A_264_NO,2,0.333,0.286,0.31,low,no,Algorithmic suggestion only; manually validate before production.
SVC0063,First Ten,BRTA_A_307_NO,5,0.556,0.625,0.59,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0064,FTCL,BRTA_A_406_NO,9,0.409,0.529,0.469,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0065,FTCL,BRTA_A_439_NO,6,0.5,0.429,0.464,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0066,Gazipur Paribahan,BRTA_A_380_NO,10,0.333,0.556,0.444,low,no,Algorithmic suggestion only; manually validate before production.
SVC0067,Grameen,BRTA_A_307_NO,5,0.625,0.625,0.625,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0068,Green Anabil,BRTA_A_424_NO,9,0.231,0.6,0.415,low,no,Algorithmic suggestion only; manually validate before production.
SVC0069,Green Dhaka,BRTA_A_430_NO,11,0.379,0.579,0.479,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0070,Gulshan Chaka,BRTA_A_278_NO,2,0.667,0.2,0.433,low,no,Algorithmic suggestion only; manually validate before production.
SVC0071,Hazi Transport,BRTA_A_458_NO,9,0.474,0.818,0.646,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0072,Himachal,BRTA_A_202_NO,3,0.3,0.375,0.338,low,no,Algorithmic suggestion only; manually validate before production.
SVC0073,Himachal Suveccha,BRTA_A_288_NO,8,0.286,0.615,0.451,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0074,Himalay,BRTA_A_243_NO,2,0.4,0.333,0.367,low,no,Algorithmic suggestion only; manually validate before production.
SVC0075,Itihash,BRTA_A_367_NO,7,0.5,0.636,0.568,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0076,Jabale Noor Paribahan,BRTA_A_301_NO,5,0.357,0.5,0.429,low,no,Algorithmic suggestion only; manually validate before production.
SVC0077,Jabale Noor Paribahan,BRTA_A_320_NO,4,0.667,0.25,0.458,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0078,Kamal Plus Paribahan,BRTA_A_161_NO,9,0.429,0.75,0.589,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0079,kanak,BRTA_A_377_NO,6,0.353,0.429,0.391,low,no,Algorithmic suggestion only; manually validate before production.
SVC0080,Khajababa,BRTA_A_458_NO,8,0.364,0.727,0.545,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0081,Kironmala Paribahan,BRTA_A_422_NO,3,0.25,0.25,0.25,low,no,Algorithmic suggestion only; manually validate before production.
SVC0082,Labbayek,BRTA_A_421_NO,11,0.355,0.786,0.57,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0083,Lal Sabuj,BRTA_A_429_NO,10,0.4,0.714,0.557,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0084,Lams Paribahan,BRTA_A_458_NO,8,0.4,0.727,0.564,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0085,Malancha,BRTA_A_161_NO,6,0.353,0.5,0.426,low,no,Algorithmic suggestion only; manually validate before production.
SVC0086,Manjil Express,BRTA_A_380_NO,14,0.452,0.778,0.615,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0087,Meghla Transport,BRTA_A_252_NO,5,0.294,0.833,0.564,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0088,Meshkat,BRTA_A_429_NO,7,0.412,0.5,0.456,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0089,Midline,BRTA_A_439_NO,8,0.421,0.571,0.496,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0090,Mirpur Metro Services,BRTA_A_127_NO,8,0.421,0.8,0.611,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0091,Mirpur Link,BRTA_A_459,4,0.333,0.333,0.333,low,no,Algorithmic suggestion only; manually validate before production.
SVC0092,Mirpur Mission,BRTA_A_131_NO,3,0.5,0.333,0.417,low,no,Algorithmic suggestion only; manually validate before production.
SVC0093,Mirpur United Service,BRTA_A_458_NO,7,0.304,0.636,0.47,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0094,MM Lovely,BRTA_A_421_NO,11,0.355,0.786,0.57,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0095,Modhumita,BRTA_A_302_NO,6,0.3,0.6,0.45,low,no,Algorithmic suggestion only; manually validate before production.
SVC0096,Mohona,BRTA_A_333_NO,4,0.308,0.5,0.404,low,no,Algorithmic suggestion only; manually validate before production.
SVC0097,Moitri,BRTA_A_406_NO,7,0.412,0.412,0.412,low,no,Algorithmic suggestion only; manually validate before production.
SVC0098,Moumita,BRTA_A_441_NO,9,0.265,0.818,0.541,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0099,MTCL-2,BRTA_A_252_NO,4,0.222,0.667,0.444,low,no,Algorithmic suggestion only; manually validate before production.
SVC0100,Nur E Makka,BRTA_A_320_NO,8,0.32,0.5,0.41,low,no,Algorithmic suggestion only; manually validate before production.
SVC0101,New Vision Dhaka,BRTA_A_114_NO,10,0.526,0.667,0.596,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0102,Nilachol Dhaka,BRTA_A_441_NO,7,0.226,0.636,0.431,low,no,Algorithmic suggestion only; manually validate before production.
SVC0103,Omama International,BRTA_A_132_NO,7,0.318,0.438,0.378,low,no,Algorithmic suggestion only; manually validate before production.
SVC0104,Pallabi Super,BRTA_A_304_NO,10,0.455,0.588,0.521,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0105,Paristhan,BRTA_A_366_NO,12,0.444,0.75,0.597,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0106,Prattay,BRTA_A_260_NO,1,0.1,0.143,0.121,low,no,Algorithmic suggestion only; manually validate before production.
SVC0107,Prochesta,BRTA_A_430_NO,11,0.344,0.579,0.461,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0108,Projapati,BRTA_A_304_NO,11,0.423,0.647,0.535,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0109,Provati Banasree,BRTA_A_380_NO,10,0.303,0.556,0.429,low,no,Algorithmic suggestion only; manually validate before production.
SVC0110,Purbachol Logistics and Transport,BRTA_A_367_NO,8,0.5,0.727,0.614,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0111,Raida Dhaka,BRTA_A_424_NO,7,0.25,0.467,0.358,low,no,Algorithmic suggestion only; manually validate before production.
SVC0112,Raja City Dhaka,BRTA_A_406_NO,8,0.421,0.471,0.446,low,no,Algorithmic suggestion only; manually validate before production.
SVC0113,Rajanigandha Dhaka,BRTA_A_406_NO,9,0.45,0.529,0.49,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0114,Rajdhani Super Dhaka,BRTA_A_320_NO,8,0.286,0.5,0.393,low,no,Algorithmic suggestion only; manually validate before production.
SVC0115,Ramjan Dhaka,BRTA_A_157_NO,6,0.222,0.857,0.54,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0116,Robrob Dhaka,BRTA_A_377_NO,7,0.389,0.5,0.444,low,no,Algorithmic suggestion only; manually validate before production.
SVC0117,Rupa Paribahan Dhaka,BRTA_A_307_NO,5,0.556,0.625,0.59,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0118,Safety Druti,BRTA_A_122_NO,6,0.353,0.6,0.476,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0119,Sakalpa Transport,BRTA_A_344_NO,7,0.5,0.438,0.469,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0120,Salsabil,BRTA_A_424_NO,8,0.242,0.533,0.388,low,no,Algorithmic suggestion only; manually validate before production.
SVC0121,Savar Paribahan,BRTA_A_224_NO,8,0.308,0.727,0.517,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0122,Shadhin,BRTA_A_368_NO,7,0.467,0.7,0.583,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0123,Shadhin Express,BRTA_A_458_NO,7,0.28,0.636,0.458,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0124,Shahria Enterprise,BRTA_A_115_NO,9,0.346,0.6,0.473,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0125,Shatabdi,BRTA_A_380_NO,12,0.545,0.667,0.606,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0126,Shikhor Paribahan,BRTA_A_458_NO,9,0.409,0.818,0.614,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0127,Shikhor Paribahan,BRTA_A_458_NO,9,0.391,0.818,0.605,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0128,Suveccha,BRTA_A_441_NO,9,0.265,0.818,0.541,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0129,Suvojatra Bus,BRTA_A_224_NO,10,0.417,0.909,0.663,high,no,Algorithmic suggestion only; manually validate before production.
SVC0130,Siam Transport,BRTA_A_424_NO,6,0.2,0.4,0.3,low,no,Algorithmic suggestion only; manually validate before production.
SVC0131,Skyline,BRTA_A_380_NO,9,0.281,0.5,0.391,low,no,Algorithmic suggestion only; manually validate before production.
SVC0132,Super,BRTA_A_429_NO,6,0.857,0.429,0.643,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0133,Supravat,BRTA_A_430_NO,10,0.323,0.526,0.424,low,no,Algorithmic suggestion only; manually validate before production.
SVC0134,Swajan Paribahan,BRTA_A_429_NO,9,0.391,0.643,0.517,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0135,Talukdar,BRTA_A_421_NO,9,0.281,0.643,0.462,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0136,Tanjil Paribahan,BRTA_A_114_NO,10,0.455,0.667,0.561,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0137,Taranga Plus,BRTA_A_157_NO,5,0.25,0.714,0.482,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0138,Tetulia,BRTA_A_301_NO,6,0.261,0.6,0.43,low,no,Algorithmic suggestion only; manually validate before production.
SVC0139,Thikana,BRTA_A_441_NO,9,0.281,0.818,0.55,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0140,Thikana Express,BRTA_A_441_NO,8,0.229,0.727,0.478,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0141,Titas,BRTA_A_307_NO,3,0.6,0.375,0.487,low,no,Algorithmic suggestion only; manually validate before production.
SVC0142,Transilva,BRTA_A_115_NO,11,0.478,0.733,0.606,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0143,Trust Transport Services,BRTA_A_333_NO,3,0.5,0.375,0.438,low,no,Algorithmic suggestion only; manually validate before production.
SVC0144,Trust Transport Services,BRTA_A_327_NO,5,0.455,0.714,0.584,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0145,Trust Transport Services,BRTA_A_280_NO,5,0.294,0.556,0.425,low,no,Algorithmic suggestion only; manually validate before production.
SVC0146,Trust Transport Services,BRTA_A_280_NO,3,0.3,0.333,0.317,low,no,Algorithmic suggestion only; manually validate before production.
SVC0147,Victor Classic,BRTA_A_430_NO,10,0.333,0.526,0.43,low,no,Algorithmic suggestion only; manually validate before production.
SVC0148,Victor Paribahan,BRTA_A_430_NO,6,0.261,0.316,0.288,low,no,Algorithmic suggestion only; manually validate before production.
SVC0149,VIP 27,BRTA_A_341_NO,5,0.227,0.625,0.426,low,no,Algorithmic suggestion only; manually validate before production.
SVC0150,Welcome,BRTA_A_429_NO,10,0.4,0.714,0.557,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0151,Winner,BRTA_A_355_NO,7,0.292,0.7,0.496,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0152,4 No. Alike Dhaka,BRTA_A_280_NO,5,0.357,0.556,0.456,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0153,6 No. Dhaka,BRTA_A_142_NO,8,0.444,0.571,0.508,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0154,6 No. Motijheel Banani Transport Dhaka,BRTA_A_142_NO,8,0.444,0.571,0.508,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0155,7 No. Dhaka,BRTA_A_115_NO,10,0.455,0.667,0.561,medium,no,Algorithmic suggestion only; manually validate before production.
SVC0156,8 No. Dhaka,BRTA_A_114_NO,9,0.429,0.6,0.514,medium,no,Algorithmic suggestion only; manually validate before production.
